Week,AwayTeamName,HomeTeamName,PointSpread,OverUnder,DateTimeUTC,NeutralVenue,TeamsConcatenated,ConferenceConcatenated
1,Towson Tigers,Maryland Terrapins,-26.1,37.8,2023-08-30T19:30:00,False,Towson Tigers vs Maryland Terrapins,Unknown
1,Central Michigan Chippewas,Michigan State Spartans,-9.6,31.0,2023-08-29T23:00:00,False,Central Michigan Chippewas vs Michigan State Spartans,Mid-American - West vs Big Ten - East
1,East Carolina Pirates,Michigan Wolverines,-25.1,36.8,2023-08-30T16:00:00,False,East Carolina Pirates vs Michigan Wolverines,American Athletic vs Big Ten - East
1,Nebraska Cornhuskers,Minnesota Golden Gophers,-5.2,29.6,2023-08-29T00:00:00,False,Nebraska Cornhuskers vs Minnesota Golden Gophers,Big Ten - West vs Big Ten - West
1,South Dakota Coyotes,Missouri Tigers,-18.6,30.6,2023-08-29T00:00:00,False,South Dakota Coyotes vs Missouri Tigers,Unknown
1,Mercer Bears,Ole Miss Rebels,-26.1,42.0,2023-08-30T18:00:00,False,Mercer Bears vs Ole Miss Rebels,Unknown
1,South Carolina Gamecocks,North Carolina Tar Heels,-1.7,43.7,2023-08-30T23:30:00,True,South Carolina Gamecocks vs North Carolina Tar Heels,SEC - East vs Atlantic Coast
1,Northwestern Wildcats,Rutgers Scarlet Knights,-3.8,26.5,2023-08-31T16:00:00,False,Northwestern Wildcats vs Rutgers Scarlet Knights,Big Ten - West vs Big Ten - East
1,Western Illinois Leathernecks,New Mexico State Aggies,-13.8,36.5,2023-08-31T01:00:00,False,Western Illinois Leathernecks vs New Mexico State Aggies,Unknown
1,UMass Minutemen,Auburn Tigers,-24.4,35.4,2023-08-30T19:30:00,False,UMass Minutemen vs Auburn Tigers,FBS Independents vs SEC - West
1,West Virginia Mountaineers,Penn State Nittany Lions,-14.4,33.7,2023-08-30T23:30:00,False,West Virginia Mountaineers vs Penn State Nittany Lions,Big 12 vs Big Ten - East
1,Maine Black Bears,Florida International Panthers,-11.4,32.0,2023-08-30T22:30:00,False,Maine Black Bears vs Florida International Panthers,Unknown
1,Utah State Aggies,Iowa Hawkeyes,-16.2,29.9,2023-08-30T16:00:00,False,Utah State Aggies vs Iowa Hawkeyes,Mountain West vs Big Ten - West
1,Bowling Green Falcons,Liberty Flames,-5.5,33.7,2023-08-30T16:00:00,False,Bowling Green Falcons vs Liberty Flames,Mid-American - East vs Conference USA
1,Florida International Panthers,Louisiana Tech Bulldogs,-8.3,39.6,2023-08-24T01:00:00,False,Florida International Panthers vs Louisiana Tech Bulldogs,Conference USA vs Conference USA
1,Hawaii Rainbow Warriors,Vanderbilt Commodores,-12.0,38.2,2023-08-24T01:10:00,False,Hawaii Rainbow Warriors vs Vanderbilt Commodores,Mountain West vs SEC - East
